"site","zone","plot_id","year","density","germ","percent_mort","tot_prev","swe","htc","ti_area","stand_size","isl_density","zone_area","zone_density","recruit_decade","zone_age","zone_basal","zone_height"
"ti10","deflation",2586,2014,0,0,NA,NA,NA,NA,713,30,420,189,580,0.5,130.454545454545,0.0152,5.16
"ti10","deflation",2586,2015,0,0,0,0,105.483829846074,1.0415099391369,713,30,420,189,580,0.5,130.454545454545,0.0152,5.16
"ti10","deflation",2586,2016,1,0,0,0,NA,NA,713,30,420,189,580,0.5,130.454545454545,0.0152,5.16
"ti10","deflation",2587,2014,2,1,NA,NA,NA,NA,713,30,420,189,580,0.5,130.454545454545,0.0152,5.16
"ti10","deflation",2587,2015,2,1,0.5,2,105.483829846074,1.0415099391369,713,30,420,189,580,0.5,130.454545454545,0.0152,5.16
"ti10","deflation",2587,2016,2,1,0.5,2,NA,NA,713,30,420,189,580,0.5,130.454545454545,0.0152,5.16
"ti10","deflation",2588,2014,3,1,NA,NA,NA,NA,713,30,420,189,580,0.5,130.454545454545,0.0152,5.16
"ti10","deflation",2588,2015,3,1,0.333333333,3,105.483829846074,1.0415099391369,713,30,420,189,580,0.5,130.454545454545,0.0152,5.16
"ti10","deflation",2588,2016,3,1,0.333333333,3,NA,NA,713,30,420,189,580,0.5,130.454545454545,0.0152,5.16
"ti10","interior",2490,2014,4,1,NA,NA,197.53192578378,0.335808049401839,713,30,420,191,730,0.57,134.333333333333,0.0165,4.06923076923077
"ti10","interior",2490,2015,4,0,0.25,4,237.954499387375,0.447338232786729,713,30,420,191,730,0.57,134.333333333333,0.0165,4.06923076923077
"ti10","interior",2490,2016,4,0,0,4,NA,NA,713,30,420,191,730,0.57,134.333333333333,0.0165,4.06923076923077
"ti10","interior",2492,2014,4,0,NA,NA,197.53192578378,0.335808049401839,713,30,420,191,730,0.57,134.333333333333,0.0165,4.06923076923077
"ti10","interior",2492,2015,5,0,0,4,237.954499387375,0.447338232786729,713,30,420,191,730,0.57,134.333333333333,0.0165,4.06923076923077
"ti10","interior",2492,2016,4,0,0.2,5,NA,NA,713,30,420,191,730,0.57,134.333333333333,0.0165,4.06923076923077
"ti10","interior",2493,2014,2,0,NA,NA,197.53192578378,0.335808049401839,713,30,420,191,730,0.57,134.333333333333,0.0165,4.06923076923077
"ti10","interior",2493,2015,2,0,0,2,237.954499387375,0.447338232786729,713,30,420,191,730,0.57,134.333333333333,0.0165,4.06923076923077
"ti10","interior",2493,2016,2,0,0,2,NA,NA,713,30,420,191,730,0.57,134.333333333333,0.0165,4.06923076923077
"ti10","interior",2497,2016,2,1,NA,NA,NA,NA,713,30,420,191,730,0.57,134.333333333333,0.0165,4.06923076923077
"ti10","interior",2915,2014,5,0,NA,NA,197.53192578378,0.335808049401839,713,30,420,191,730,0.57,134.333333333333,0.0165,4.06923076923077
"ti10","interior",2915,2015,4,1,0.6,5,237.954499387375,0.447338232786729,713,30,420,191,730,0.57,134.333333333333,0.0165,4.06923076923077
"ti10","interior",2915,2016,3,0,0.5,4,NA,NA,713,30,420,191,730,0.57,134.333333333333,0.0165,4.06923076923077
"ti10","leeward",1642,2014,6,6,NA,NA,304.908363430685,0.366511922015077,713,30,420,154,260,0.18,132.75,0.0152,3.75
"ti10","leeward",1642,2015,7,7,1,6,400.423432792621,0.267919981415372,713,30,420,154,260,0.18,132.75,0.0152,3.75
"ti10","leeward",1642,2016,8,0,0,7,NA,NA,713,30,420,154,260,0.18,132.75,0.0152,3.75
"ti10","leeward",2491,2014,0,0,NA,NA,304.908363430685,0.366511922015077,713,30,420,154,260,0.18,132.75,0.0152,3.75
"ti10","leeward",2491,2015,0,0,0,0,400.423432792621,0.267919981415372,713,30,420,154,260,0.18,132.75,0.0152,3.75
"ti10","leeward",2491,2016,0,0,0,0,NA,NA,713,30,420,154,260,0.18,132.75,0.0152,3.75
"ti10","leeward",2498,2014,3,0,NA,NA,304.908363430685,0.366511922015077,713,30,420,154,260,0.18,132.75,0.0152,3.75
"ti10","leeward",2498,2015,3,1,0.333333333,3,400.423432792621,0.267919981415372,713,30,420,154,260,0.18,132.75,0.0152,3.75
"ti10","leeward",2498,2016,4,2,0.333333333,3,NA,NA,713,30,420,154,260,0.18,132.75,0.0152,3.75
"ti10","leeward",2499,2014,10,10,NA,NA,304.908363430685,0.366511922015077,713,30,420,154,260,0.18,132.75,0.0152,3.75
"ti10","leeward",2499,2015,14,14,1,10,400.423432792621,0.267919981415372,713,30,420,154,260,0.18,132.75,0.0152,3.75
"ti10","leeward",2499,2016,11,11,1,14,NA,NA,713,30,420,154,260,0.18,132.75,0.0152,3.75
"ti10","windward",2494,2014,3,0,NA,NA,113.251071900943,0.616537968748266,713,30,420,181,55,0.17,51,0.00238,2.8
"ti10","windward",2494,2015,3,0,0,3,80.0087010881315,2.04373748767269,713,30,420,181,55,0.17,51,0.00238,2.8
"ti10","windward",2494,2016,3,0,0,3,NA,NA,713,30,420,181,55,0.17,51,0.00238,2.8
"ti10","windward",2495,2014,3,0,NA,NA,113.251071900943,0.616537968748266,713,30,420,181,55,0.17,51,0.00238,2.8
"ti10","windward",2495,2015,3,0,0,3,80.0087010881315,2.04373748767269,713,30,420,181,55,0.17,51,0.00238,2.8
"ti10","windward",2495,2016,3,0,0.333333333,3,NA,NA,713,30,420,181,55,0.17,51,0.00238,2.8
"ti10","windward",2496,2014,2,0,NA,NA,113.251071900943,0.616537968748266,713,30,420,181,55,0.17,51,0.00238,2.8
"ti10","windward",2496,2015,1,0,0.5,2,80.0087010881315,2.04373748767269,713,30,420,181,55,0.17,51,0.00238,2.8
"ti10","windward",2496,2016,1,0,0,1,NA,NA,713,30,420,181,55,0.17,51,0.00238,2.8
"ti10","windward",2497,2014,2,0,0,2,113.251071900943,0.616537968748266,713,30,420,181,55,0.17,51,0.00238,2.8
"ti10","windward",2497,2015,3,1,0,2,80.0087010881315,2.04373748767269,713,30,420,181,55,0.17,51,0.00238,2.8
"ti10","windward",2497,2016,2,0,0.333333333,3,NA,NA,713,30,420,181,55,0.17,51,0.00238,2.8
"ti11","deflation",486,2014,7,6,NA,NA,200.204142087061,0.678320678836303,1110,62,560,291,480,0.64,79.7142857142857,0.00683,3.30714285714286
"ti11","deflation",486,2015,6,5,0.857142857,7,200.44167242513,0.651062395901849,1110,62,560,291,480,0.64,79.7142857142857,0.00683,3.30714285714286
"ti11","deflation",486,2016,5,1,0.166666667,6,NA,NA,1110,62,560,291,480,0.64,79.7142857142857,0.00683,3.30714285714286
"ti11","deflation",1589,2014,0,0,NA,NA,200.204142087061,0.678320678836303,1110,62,560,291,480,0.64,79.7142857142857,0.00683,3.30714285714286
"ti11","deflation",1589,2015,0,0,0,0,200.44167242513,0.651062395901849,1110,62,560,291,480,0.64,79.7142857142857,0.00683,3.30714285714286
"ti11","deflation",1589,2016,1,0,0,0,NA,NA,1110,62,560,291,480,0.64,79.7142857142857,0.00683,3.30714285714286
"ti11","deflation",2445,2014,1,0,NA,NA,200.204142087061,0.678320678836303,1110,62,560,291,480,0.64,79.7142857142857,0.00683,3.30714285714286
"ti11","deflation",2445,2015,12,10,1,1,200.44167242513,0.651062395901849,1110,62,560,291,480,0.64,79.7142857142857,0.00683,3.30714285714286
"ti11","deflation",2445,2016,0,0,1,12,NA,NA,1110,62,560,291,480,0.64,79.7142857142857,0.00683,3.30714285714286
"ti11","interior",1585,2014,7,3,NA,NA,428.402931160871,0.326375974681802,1110,62,560,298,1000,1.4,85.3,0.00899,3.79354838709677
"ti11","interior",1585,2016,3,3,1,7,NA,NA,1110,62,560,298,1000,1.4,85.3,0.00899,3.79354838709677
"ti11","interior",2198,2014,3,0,NA,NA,428.402931160871,0.326375974681802,1110,62,560,298,1000,1.4,85.3,0.00899,3.79354838709677
"ti11","interior",2198,2015,3,0,0,3,414.040828934033,0.326597124936597,1110,62,560,298,1000,1.4,85.3,0.00899,3.79354838709677
"ti11","interior",2198,2016,3,0,0,3,NA,NA,1110,62,560,298,1000,1.4,85.3,0.00899,3.79354838709677
"ti11","interior",2199,2014,6,1,NA,NA,428.402931160871,0.326375974681802,1110,62,560,298,1000,1.4,85.3,0.00899,3.79354838709677
"ti11","interior",2199,2015,6,1,0.166666667,6,414.040828934033,0.326597124936597,1110,62,560,298,1000,1.4,85.3,0.00899,3.79354838709677
"ti11","interior",2199,2016,5,2,0.5,6,NA,NA,1110,62,560,298,1000,1.4,85.3,0.00899,3.79354838709677
"ti11","interior",2612,2014,9,6,NA,NA,428.402931160871,0.326375974681802,1110,62,560,298,1000,1.4,85.3,0.00899,3.79354838709677
"ti11","interior",2612,2015,9,6,0.777777778,9,414.040828934033,0.326597124936597,1110,62,560,298,1000,1.4,85.3,0.00899,3.79354838709677
"ti11","interior",2612,2016,3,1,0.777777778,9,NA,NA,1110,62,560,298,1000,1.4,85.3,0.00899,3.79354838709677
"ti11","interior",2627,2014,9,3,NA,NA,428.402931160871,0.326375974681802,1110,62,560,298,1000,1.4,85.3,0.00899,3.79354838709677
"ti11","interior",2627,2015,8,6,0.777777778,9,414.040828934033,0.326597124936597,1110,62,560,298,1000,1.4,85.3,0.00899,3.79354838709677
"ti11","interior",2627,2016,5,5,1,8,NA,NA,1110,62,560,298,1000,1.4,85.3,0.00899,3.79354838709677
"ti11","interior",2652,2014,3,0,NA,NA,428.402931160871,0.326375974681802,1110,62,560,298,1000,1.4,85.3,0.00899,3.79354838709677
"ti11","interior",2652,2015,0,0,1,3,414.040828934033,0.326597124936597,1110,62,560,298,1000,1.4,85.3,0.00899,3.79354838709677
"ti11","interior",2652,2016,2,2,0,0,NA,NA,1110,62,560,298,1000,1.4,85.3,0.00899,3.79354838709677
"ti11","leeward",961,2016,1,0,0,NA,NA,NA,1110,62,560,281,430,1.3,60.6666666666667,0.0154,5.08333333333333
"ti11","windward",626,2014,7,5,NA,NA,158.890829715705,0.656875609879517,1110,62,560,240,210,0.36,76,0.00554,3.3
"ti11","windward",626,2015,7,5,0.714285714,7,104.699979730445,0.759496452000262,1110,62,560,240,210,0.36,76,0.00554,3.3
"ti11","windward",626,2016,9,0,0.857142857,7,NA,NA,1110,62,560,240,210,0.36,76,0.00554,3.3
"ti11","windward",2039,2014,5,4,NA,NA,158.890829715705,0.656875609879517,1110,62,560,240,210,0.36,76,0.00554,3.3
